dataset,num_points,dimensions,eta,covering_number,runtime_seconds
MNIST_Subset,20000,784,14.0,2,0.4894064419931965
MNIST_Subset,20000,784,9.431155806638259,112,2.019272513993201
MNIST_Subset,20000,784,6.35333570350618,4109,86.631134071009
MNIST_Subset,20000,784,4.279949922260319,14744,284.8082380029955
MNIST_Subset,20000,784,2.8832053258175967,18144,362.2330805609963
MNIST_Subset,20000,784,1.942282760736784,19243,391.2535542109981
MNIST_Subset,20000,784,1.308426524075436,19945,410.7873819939996
MNIST_Subset,20000,784,0.8814267435781113,20000,413.5340062089963
MNIST_Subset,20000,784,0.5937766393444968,20000,419.5338567459985
MNIST_Subset,20000,784,0.4,20000,412.8382197500032
MNIST_Subset,5000,784,14.0,2,0.13857198700134177
MNIST_Subset,5000,784,11.61077733551185,9,0.18047529400064377
MNIST_Subset,5000,784,9.62929645248825,59,0.3314507459945162
MNIST_Subset,5000,784,7.985972643391084,402,1.6637482710066251
MNIST_Subset,5000,784,6.623096440707344,1377,6.601758021999558
MNIST_Subset,5000,784,5.492807003190997,2791,12.75295619499957
MNIST_Subset,5000,784,4.555411361499341,3912,17.037294599002053
MNIST_Subset,5000,784,3.777990499287834,4424,18.938348357994983
MNIST_Subset,5000,784,3.1332433187793045,4598,19.574368020999827
MNIST_Subset,5000,784,2.598527893737618,4734,20.22775688600086
MNIST_Subset,5000,784,2.1550663410217186,4843,20.42319889999635
MNIST_Subset,5000,784,1.7872853877756718,4944,20.931678473003558
MNIST_Subset,5000,784,1.4822694766055189,4988,20.80117276699457
MNIST_Subset,5000,784,1.2293072031494543,4998,21.103181961996597
MNIST_Subset,5000,784,1.0195151580506527,5000,21.174747985001886
MNIST_Subset,5000,784,0.8455259635932351,5000,21.02644979699835
MNIST_Subset,5000,784,0.7012295496196532,5000,21.00952629800304
MNIST_Subset,5000,784,0.5815585829796462,5000,21.046435325995844
MNIST_Subset,5000,784,0.48231051532374714,5000,21.267640986996412
MNIST_Subset,5000,784,0.4,5000,21.70810590999463
MNIST_Subset,10000,784,14.0,1,0.2964555900034611
MNIST_Subset,10000,784,9.431155806638259,101,1.0926214270002674
MNIST_Subset,10000,784,6.35333570350618,2671,29.017032963005477
MNIST_Subset,10000,784,4.279949922260319,7791,72.4114018370019
MNIST_Subset,10000,784,2.8832053258175967,9152,84.14844223199907
MNIST_Subset,10000,784,1.942282760736784,9725,88.57587888800481
MNIST_Subset,10000,784,1.308426524075436,9992,92.51305013600359
MNIST_Subset,10000,784,0.8814267435781113,10000,90.90779831499822
MNIST_Subset,10000,784,0.5937766393444968,10000,91.35788369800139
