dataset,seed,num_points,dimensions,eta,covering_number,runtime_seconds
MNIST_Subset,42,5000,784,15.822892812230254,1,0.0035326959996382357
MNIST_Subset,42,5000,784,13.337843161566523,2,0.00280187900079909
MNIST_Subset,42,5000,784,11.24308066253481,13,0.002894186999583326
MNIST_Subset,42,5000,784,9.477309131097751,81,0.003329586000290874
MNIST_Subset,42,5000,784,7.988859198146017,394,0.00574119500015513
MNIST_Subset,42,5000,784,6.73417637907204,1264,0.011041267000109656
MNIST_Subset,42,5000,784,5.676546598164608,2580,0.020270173999961116
MNIST_Subset,42,5000,784,4.785021874579187,3707,0.026962543000081496
MNIST_Subset,42,5000,784,4.033514733694673,4309,0.031040285999551998
MNIST_Subset,42,5000,784,3.4000348448486015,4545,0.03355587900023238
MNIST_Subset,42,5000,784,2.866045548219816,4663,0.034165676000156964
MNIST_Subset,42,5000,784,2.4159214417805153,4797,0.03461340099966037
MNIST_Subset,42,5000,784,2.0364911564228882,4902,0.03462131000014779
MNIST_Subset,42,5000,784,1.7166519401111437,4967,0.036498075999588764
MNIST_Subset,42,5000,784,1.4470447731595333,4989,0.03447545400013041
MNIST_Subset,42,5000,784,1.2197805079769133,5000,0.03552839399981167
MNIST_Subset,42,5000,784,1.0282090196779166,5000,0.03502090100027999
MNIST_Subset,42,5000,784,0.8667246125292503,5000,0.03517860300053144
MNIST_Subset,42,5000,784,0.7306019881048056,5000,0.03489819800051919
MNIST_Subset,42,5000,784,0.6158579753089456,5000,0.03643446200021572
MNIST_Subset,42,10000,784,15.823009929028933,1,0.0057116970001516165
MNIST_Subset,42,10000,784,13.18439991470914,2,0.0053321710001910105
MNIST_Subset,42,10000,784,10.985798649603097,20,0.005688335999366245
MNIST_Subset,42,10000,784,9.153831251354585,145,0.007539811999777157
MNIST_Subset,42,10000,784,7.6273586701230105,815,0.016145433000019693
MNIST_Subset,42,10000,784,6.35543726831229,2673,0.03995682999993733
MNIST_Subset,42,10000,784,5.295618656255135,5396,0.07409857400034525
MNIST_Subset,42,10000,784,4.412533043524875,7646,0.10228445400025521
MNIST_Subset,42,10000,784,3.676708827438054,8658,0.11654420900049445
MNIST_Subset,42,10000,784,3.0635890243582495,9083,0.1243693609994807
MNIST_Subset,42,10000,784,2.5527117187324944,9355,0.12619900699974096
MNIST_Subset,42,10000,784,2.127027178627273,9618,0.13468189800005348
MNIST_Subset,42,10000,784,1.7723288475619698,9829,0.14086321300055715
MNIST_Subset,42,10000,784,1.476779222881183,9960,0.1578237249996164
MNIST_Subset,42,10000,784,1.2305147975972874,9993,0.1438097670006755
MNIST_Subset,42,10000,784,1.0253168812544422,9999,0.1495007869998517
MNIST_Subset,42,10000,784,0.8543373139746574,10000,0.14328750200002105
MNIST_Subset,42,10000,784,0.7118699198207219,10000,0.13663454200013803
MNIST_Subset,42,10000,784,0.5931600720890359,10000,0.13248700500025734
MNIST_Subset,42,10000,784,0.49424601507151433,10000,0.14542931899995892
MNIST_Subset,42,20000,784,16.191242690704172,1,0.03281603199957317
MNIST_Subset,42,20000,784,13.474901623671037,3,0.01076777599973866
MNIST_Subset,42,20000,784,11.21427040753693,16,0.010913125000115542
MNIST_Subset,42,20000,784,9.332896394021837,132,0.018442828000843292
MNIST_Subset,42,20000,784,7.767153094775148,942,0.041609426999457355
MNIST_Subset,42,20000,784,6.464088387000477,3714,0.12134707599943795
MNIST_Subset,42,20000,784,5.379633717154642,8772,0.25453581800047687
MNIST_Subset,42,20000,784,4.477113739494563,13814,0.3894956930007538
MNIST_Subset,42,20000,784,3.726005986699927,16614,0.49887331999980233
MNIST_Subset,42,20000,784,3.1009086256743204,17826,0.491505297999538
MNIST_Subset,42,20000,784,2.5806813888932685,18416,0.5193058049999308
MNIST_Subset,42,20000,784,2.1477306283192497,18933,0.5213660929994148
MNIST_Subset,42,20000,784,1.78741431300777,19460,0.5618215430004057
MNIST_Subset,42,20000,784,1.487546847923491,19838,0.5601728759993421
MNIST_Subset,42,20000,784,1.237986967354834,19971,0.5690297629998895
MNIST_Subset,42,20000,784,1.0302947658286092,19999,0.5555591450001884
MNIST_Subset,42,20000,784,0.8574462675983711,20000,0.5557231880002291
MNIST_Subset,42,20000,784,0.713595881686427,20000,0.5647346579999066
MNIST_Subset,42,20000,784,0.5938787089086124,20000,0.5403753720001987
MNIST_Subset,42,20000,784,0.49424601507151433,20000,0.556430366999848
